AssetID,Brand,ModelNumber,SerialNumber,Description,IsMissing,IsOOC,MaintenanceLogs,DepartmentCode,DefaultLocation,CurrentLocation
PCBB#07,Interspace Industries,PCBB3,,PC Balance Box,False,False,,AX,Store,
PCBB#08,Interspace Industries,PCBB3,,PC Balance Box,False,False,,AX,Store,
PCBB#09,Interspace Industries,PCBB3,,PC Balance Box,False,False,,AX,Store,Store
PCBB#10,Interspace Industries,PCBB3,,PC Balance Box,False,False,,AX,Store,Store
PCBB#11,Interspace Industries,PCBB3,,PC Balance Box,False,False,,AX,Store,Store
PCBB#12,Interspace Industries,PCBB,,PC Balance Box,False,False,,AX,Store,
PCBB#13,Interspace Industries,PCBB,,PC Balance Box,False,False,,AX,Store,Store
PCBB#14,Interspace Industries,PCBB,,PC Balance Box,False,False,,AX,Store,Store
LSP1#01,Dsan,LSP-1,,Laptop Sound Port (Mono),False,False,,AX,Store,
LSP1#02,Dsan,LSP-1,,Laptop Sound Port (Mono),False,False,,AX,Store,
LSP2#01,Dsan,LSP-2,,Laptop Sound Port (Stereo),False,False,,AX,Store,
LSP2#02,Dsan,LSP-2,,Laptop Sound Port (Stereo),False,False,,AX,Store,
K&M ROD #01,K&M,21338-000-55,,Distance Rod with Hand Crank,False,False,,AX,Store,
K&M ROD #02,K&M,21338-000-55,,Distance Rod with Hand Crank,False,False,,AX,Store,
K&M ROD #03,K&M,21338-000-55,,Distance Rod with Hand Crank,False,False,,AX,Store,
K&M ROD #04,K&M,21338-000-55,,Distance Rod with Hand Crank,False,False,,AX,Store,
K&M ROD #05,K&M,214/06,,Distance Rod,False,False,,AX,Store,
K&M ROD #06,K&M,214/06,,Distance Rod,False,False,,AX,Store,
K&M ROD #07,K&M,214/06,,Distance Rod,False,False,,AX,Store,
K&M ACC #01,K&M,21441-000-55,,Adapter sleeve ring lock,False,False,,AX,Store,
K&M ACC #02,K&M,21441-000-55,,Adapter sleeve ring lock,False,False,,AX,Store,
K&M ACC #03,K&M,21441-000-55,,Adapter sleeve ring lock,False,False,,AX,Store,
K&M ACC #04,K&M,21441-000-55,,Adapter sleeve ring lock,False,False,,AX,Store,
5XTW#01,L-Acoustics,5XTW,260049579,"5"" passive coaxial enclosure, white",False,False,,AX,Store,Store
5XTW#02,L-Acoustics,5XTW,260049582,"5"" passive coaxial enclosure, white",False,False,"2025/05/28	bnjm2000	Sent to Concept Systems as rubber gasket was coming out [Location: Concept Systems, Marked OOC]|2025/07/09	bnjm2000	Collected back from Concept Systems, inspected ok [Location: Store, Cleared OOC, Cleared Missing]",AX,Store,Store
