AssetID,Brand,ModelNumber,SerialNumber,Description,DateOfPurchase,DateAdded,DateModified,ChangeHistory,IsMissing,IsOOC,IsDegraded,IsDisposed,IsBulk,Quantity,MaintenanceLogs,DepartmentCode,DefaultLocation,CurrentLocation
LINUS10#13,Coda,Linus 10,7101193,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#14,Coda,Linus 10,7101454,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#15,Coda,Linus 10,7101439,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#16,Coda,Linus 10,7101379,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#17,Coda,Linus 10,7101210,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#18,Coda,Linus 10,7101428,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#19,Coda,Linus 10,7101441,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#20,Coda,Linus 10,7101197,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#21,Coda,Linus 10,7101455,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#22,Coda,Linus 10,7101459,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#23,Coda,Linus 10,7101435,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#24,Coda,Linus 10,7101419,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#25,Coda,Linus 10,7101446,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#26,Coda,Linus 10,7101645,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#27,Coda,Linus 10,7101220,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#28,Coda,Linus 10,7101245,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#29,Coda,Linus 10,7101451,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#30,Coda,Linus 10,7101244,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#31,Coda,Linus 10,7101613,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#32,Coda,Linus 10,7101436,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#33,Coda,Linus 10,7101165,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#34,Coda,Linus 10,7101191,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#35,Coda,Linus 10,7101371,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#36,Coda,Linus 10,7101249,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#37,Coda,Linus 10,7100998,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#38,Coda,Linus 10,7101199,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
